canton,income_tax,profit_tax,wealth_tax
Genf,44.75,14.0,10.1
Basel-Landschaft,42.17,17.97,7.6
Waadt,41.5,14.0,7.9
Bern,41.04,21.04,5.8
Basel-Stadt,40.34,13.04,8.0
Tessin,39.97,19.16,6.8
Zürich,39.63,19.65,6.1
Jura,38.9,16.0,5.7
Neuenburg,38.06,13.57,6.8
Wallis,36.5,17.12,6.3
Freiburg,35.26,13.87,6.0
Aargau,34.38,17.42,4.4
Solothurn,33.66,15.29,2.1
St. Gallen,32.84,14.4,4.4
Graubünden,32.18,14.77,3.2
Thurgau,31.68,13.21,2.9
Glarus,31.08,12.31,3.5
Appenzell Ausserrhoden,30.74,13.04,4.1
Luzern,30.6,12.2,2.6
Schaffhausen,29.82,13.8,4.7
Schwyz,25.35,14.06,2.3
Uri,25.35,12.63,2.0
Nidwalden,25.28,11.97,1.3
Obwalden,24.3,12.74,1.4
Appenzell Innerrhoden,23.82,12.66,2.5
Zug,22.22,11.85,2.8
